3722	7641	1	11
7168	2556	1	7
2421	3424	1	7
8044	8283	1	1
1026	818	1	4
354	5955	1	1
6817	8398	1	6
8156	7811	1	1
3616	2112	1	1
6246	6387	1	1
6148	6888	1	1
3064	263	1	1
2225	3320	1	1
4715	7405	1	1
1412	2054	1	2
422	5730	1	1
1471	297	1	2
5524	6513	1	1
1901	8169	1	5
2674	4590	1	3
4687	6260	1	1
7653	7582	1	1
1678	1525	1	5
8110	5477	1	2
7513	867	1	1
4138	3989	1	2
3860	4509	1	4
2173	2924	1	2
4585	1182	1	1
4202	3896	1	3
831	1146	1	1
768	5450	1	1
5614	8082	1	2
583	6057	1	9
4285	7499	1	3
6196	7792	1	5
4314	1063	1	7
901	3617	1	1
61	2646	1	1
6201	6640	1	2
6589	1053	1	2
7461	13	1	2
2871	6529	1	4
662	5985	1	7
8002	4946	1	1
7789	6006	1	7
3356	672	1	8
4114	1572	1	1
5620	5076	1	1
3528	5477	1	1
6327	3832	1	1
4681	3481	1	1
7705	3768	1	1
3795	5051	1	1
5032	517	1	1
5216	1742	1	1
5398	6685	1	4
3200	2422	1	4
350	7145	1	1
3953	4093	1	4
4672	478	1	1
7983	6487	1	1
8513	5183	1	1
3959	4727	1	9
3226	1364	1	1
6425	1130	1	1
7745	2856	1	7
3641	6905	1	1
5701	2557	1	2
7503	1557	1	7
4238	8092	1	7
1430	4714	1	11
7709	2293	1	1
5614	5199	1	2
7237	5032	1	2
5272	1750	1	2
1370	231	1	1
6644	5448	1	1
3282	2616	1	1
4487	380	1	1
909	3463	1	2
3223	4623	1	2
658	2150	1	1
1422	2597	1	1
4492	7293	1	1
57	1104	1	9
6439	5496	1	1
6045	10	1	1
1682	4794	1	1
1933	76	1	1
7010	7632	1	2
5614	7315	1	2
1308	4743	1	2
2954	1700	1	2
134	2396	1	3
3912	7264	1	4
6577	7084	1	10
1850	3223	1	7
7581	226	1	1
2744	7110	1	4
4299	1139	1	1
2455	7937	1	2
4492	5439	1	1
2626	6986	1	1
1569	5985	1	7
3437	7127	1	1
2067	2131	1	1
5386	7806	1	1
4725	2072	1	1
6805	3268	1	1
804	1721	1	1
2903	4044	1	1
4730	353	1	1
4851	2554	1	2
7360	5922	1	4
2283	2674	1	7
6492	670	1	1
4428	6120	1	5
24	8387	1	4
6246	3525	1	1
47	1027	1	1
1113	5369	1	2
7806	680	1	2
7792	6120	1	5
3744	167	1	1
1218	1508	1	1
1501	8335	1	1
3713	5292	1	1
7709	8080	1	1
2227	7817	1	1
2866	3772	1	1
4845	5624	1	2
1639	2391	1	1
2002	6480	1	11
1840	7989	1	1
5960	4435	1	2
304	5432	1	9
7539	1218	1	1
2818	7015	1	1
6565	3223	1	7
1708	4438	1	1
1380	3052	1	9
5996	1525	1	4
7496	3929	1	1
6300	5381	1	2
1153	4038	1	2
5752	6817	1	8
6962	230	1	1
1631	473	1	1
442	2283	1	3
3953	5947	1	3
5572	7589	1	1
2046	5873	1	2
3616	2601	1	1
7574	4059	1	2
6215	4443	1	4
3264	3025	1	4
5656	5450	1	6
2119	5599	1	9
883	5134	1	1
160	6220	1	2
3828	7531	1	3
670	3284	1	1
534	1558	1	2
1053	2699	1	2
5261	6314	1	2
7393	7589	1	1
2029	7160	1	5
7004	6206	1	6
2348	7632	1	1
3834	6688	1	2
6516	4180	1	11
895	7449	1	1
6362	663	1	7
7485	1771	1	1
6895	1080	1	2
3951	583	1	1
7394	322	1	4
2998	1770	1	2
8102	7510	1	2
7893	5622	1	2
1374	608	1	1
7054	524	1	1
3768	4122	1	1
3822	7445	1	1
4205	5758	1	1
5498	57	1	9
5957	2801	1	3
1310	4410	1	1
2905	4031	1	3
3218	1720	1	1
2025	3851	1	1
6472	5662	1	1
